Accession,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Highest mean condition,Lowest mean condition,Description,20170831_UDMSE_CONTROL_R001,20170831_UDMSE_CONTROL_R002,20170831_UDMSE_CONTROL_R003,20170831_UDMSE_INFECTED_R001,20170831_UDMSE_INFECTED_R002,20170831_UDMSE_INFECTED_R003,20170831_UDMSE_CONTROL_raw_R001,20170831_UDMSE_CONTROL_raw_R002,20170831_UDMSE_CONTROL_raw_R003,20170831_UDMSE_INFECTED__raw_R001,20170831_UDMSE_INFECTED_raw_R002,20170831_UDMSE_INFECTED_raw_003
A0A0D9R6W4,7,1,50.3911,9.01E-08,9.81E-06,11.54215616,1,I,C,Uncharacterized protein OS=Chlorocebus sabaeus PE=3 SV=1,1715.525976,1769.79446,0,19846.98572,19735.01257,0,1715.525976,1769.79446,1619.789711,19846.98572,19735.01257,19341.98023
A0A0D9RIE1,25,17,195.704,1.02E-07,9.81E-06,2.177875685,1,I,C,Signal transducer and activator of transcription OS=Chlorocebus sabaeus GN=STAT1 PE=3 SV=1,92532.76092,94198.57775,91764.81662,203102.4734,203026.3701,200401.1615,92532.76092,94198.57775,91764.81662,203102.4734,203026.3701,200401.1615
A0A0D9R374,16,13,121.541,2.16E-07,1.26E-05,5.312719684,1,I,C,Interferon induced protein with tetratricopeptide repeats 3 OS=Chlorocebus sabaeus GN=IFIT3 PE=4 SV=1,19301.96674,18582.45828,18354.4391,100346.1973,102117.548,96317.5751,19301.96674,18582.45828,18354.4391,100346.1973,102117.548,96317.5751
A0A0D9RJF0,6,5,24.233,3.49E-07,1.26E-05,1.614497089,1,C,I,RIB43A domain with coiled-coils 1 OS=Chlorocebus sabaeus GN=RIBC1 PE=4 SV=1,119872.8849,119880.429,118870.5728,73847.03395,73270.7032,75009.56746,119872.8849,119880.429,118870.5728,73847.03395,73270.7032,75009.56746
A0A0D9RD03,37,32,355.3975,3.56E-07,1.26E-05,1.415387346,1,C,I,Valosin containing protein OS=Chlorocebus sabaeus GN=VCP PE=3 SV=1,537550.5717,535188.0594,542154.2591,377410.3548,382158.2119,381386.1654,537550.5717,535188.0594,542154.2591,377410.3548,382158.2119,381386.1654
A0A0D9S4M6,26,20,270.3144,4.42E-07,1.26E-05,1.170384018,1,C,I,Protein disulfide-isomerase OS=Chlorocebus sabaeus GN=P4HB PE=3 SV=1,398420.066,401308.2841,400327.3998,341687.856,342711.8024,340952.4747,398420.066,401308.2841,400327.3998,341687.856,342711.8024,340952.4747
A0A0D9RD85,12,11,102.5265,4.58E-07,1.26E-05,3.411732413,1,I,C,Tryptophanyl-tRNA synthetase OS=Chlorocebus sabaeus GN=WARS PE=3 SV=1,28589.98548,29401.49911,30513.54045,100186.5145,102189.7486,99579.19946,28589.98548,29401.49911,30513.54045,100186.5145,102189.7486,99579.19946
A0A0D9R7K5,2,1,8.2342,7.55E-07,1.82E-05,2.15736529,1,C,I,Sequestosome 1 OS=Chlorocebus sabaeus GN=SQSTM1 PE=4 SV=1,29110.75301,28268.079,28957.52178,13628.9802,13116.66158,13273.70691,29110.75301,28268.079,28957.52178,13628.9802,13116.66158,13273.70691
REVERSE17654,3,2,17.4254,1.11E-06,2.28E-05,2.093226262,1,C,I,Reversed Sequence 17654,59363.86521,57350.21309,60397.75171,28110.78313,28244.65356,28256.4532,59363.86521,57350.21309,60397.75171,28110.78313,28244.65356,28256.4532
A0A0D9RTU4,59,39,375.8589,1.29E-06,2.28E-05,1.159582142,1,C,I,Microtubule-associated protein OS=Chlorocebus sabaeus PE=4 SV=1,402580.9654,399334.9521,401956.2369,345549.8601,345206.8242,347438.1196,402580.9654,399334.9521,401956.2369,345549.8601,345206.8242,347438.1196
A0A0D9QWX7,6,3,37.3594,1.41E-06,2.28E-05,2.716329823,1,C,I,Ornithine aminotransferase OS=Chlorocebus sabaeus GN=OAT PE=3 SV=1,47921.9673,46470.19645,48014.02362,17824.34524,16806.57739,17795.03323,47921.9673,46470.19645,48014.02362,17824.34524,16806.57739,17795.03323
A0A0D9SA62;A0A0D9RQ45,6,4,42.2161,1.44E-06,2.28E-05,1.769372469,1,C,I,Peptidyl-prolyl cis-trans isomerase OS=Chlorocebus sabaeus GN=PPIB PE=3 SV=1,51345.99122,51565.55751,52065.00118,29677.4095,28521.76157,29389.25514,51345.99122,51565.55751,52065.00118,29677.4095,28521.76157,29389.25514
A0A0D9RAW8,1,1,4.7689,1.77E-06,2.28E-05,2.241060355,1,C,I,Beta-galactosidase OS=Chlorocebus sabaeus GN=GLB1 PE=3 SV=1,10548.06683,11086.05334,10514.64176,4806.773091,4829.480303,4709.081779,10548.06683,11086.05334,10514.64176,4806.773091,4829.480303,4709.081779
